CATEGORY,TP,TN,FP,FN,MCC
veg-oil,3,24,2,14,0.15183249942890767
linseed,2,28,3,10,0.09779689751497256
lin-oil,2,28,3,10,0.09779689751497256
soy-oil,2,28,3,10,0.09779689751497256
sun-oil,2,28,3,10,0.09779689751497256
soybean,4,20,1,18,0.2092637006814019
oilseed,4,20,1,18,0.2092637006814019
corn,3,18,2,20,0.04735570640442168
sunseed,2,28,3,10,0.09779689751497256
grain,4,14,1,24,0.11327877206476619
sorghum,2,22,3,16,-0.01367971136113539
wheat,4,14,1,24,0.11327877206476619
acq,0,37,0,2,0
cpi,0,0,38,0,0
